ID_Orden,ID_Equipo,Fecha_ot,Tipo_Mantenimiento,Costo_Mantenimiento,Duracion_Horas,Ubicacion,Periodo,frecuencia_correctivo,Tipo_Equipo,Fabricante,Modelo,Potencia_kW,Horas_Recomendadas_Revision
1,382,2021-01-01,Correctivo,4331,16,Ubicacion_A,2020-12-28,1,Bomba,Fabricante_A,Modelo_10,281,634
2,350,2021-01-01,Correctivo,2927,12,Ubicacion_A,2020-12-28,1,Generador,Fabricante_A,Modelo_9,127,608
3,302,2021-01-02,Correctivo,3863,6,Ubicacion_B,2020-12-28,1,Generador,Fabricante_C,Modelo_9,331,701
4,55,2021-01-02,Correctivo,1556,2,Ubicacion_D,2020-12-28,1,Compresor,Fabricante_B,Modelo_9,71,660
5,89,2021-01-02,Correctivo,3680,17,Ubicacion_B,2020-12-28,1,Compresor,Fabricante_D,Modelo_3,281,750
6,430,2021-01-02,Correctivo,1165,8,Ubicacion_D,2020-12-28,1,Motor,Fabricante_B,Modelo_8,54,828
7,334,2021-01-02,Correctivo,538,18,Ubicacion_C,2020-12-28,1,Bomba,Fabricante_B,Modelo_10,381,609
8,53,2021-01-02,Correctivo,1172,23,Ubicacion_D,2020-12-28,1,Generador,Fabricante_A,Modelo_2,57,596
9,84,2021-01-02,Correctivo,1461,7,Ubicacion_C,2020-12-28,1,Bomba,Fabricante_C,Modelo_7,462,653
10,75,2021-01-02,Correctivo,1390,23,Ubicacion_D,2020-12-28,1,Compresor,Fabricante_C,Modelo_3,255,861
11,349,2021-01-02,Correctivo,4858,15,Ubicacion_C,2020-12-28,1,Motor,Fabricante_A,Modelo_10,92,612
12,347,2021-01-03,Correctivo,3928,21,Ubicacion_A,2020-12-28,1,Compresor,Fabricante_A,Modelo_1,470,620
13,369,2021-01-03,Correctivo,989,13,Ubicacion_A,2020-12-28,1,Bomba,Fabricante_C,Modelo_2,233,794
14,180,2021-01-03,Correctivo,2519,3,Ubicacion_D,2020-12-28,1,Bomba,Fabricante_D,Modelo_3,398,831
15,439,2021-01-03,Correctivo,3493,2,Ubicacion_A,2020-12-28,1,Motor,Fabricante_C,Modelo_4,361,820
16,395,2021-01-04,Correctivo,4103,9,Ubicacion_A,2021-01-04,1,Compresor,Fabricante_D,Modelo_10,68,712
17,120,2021-01-04,Correctivo,4011,11,Ubicacion_A,2021-01-04,1,Compresor,Fabricante_B,Modelo_10,246,512
18,332,2021-01-04,Correctivo,2100,15,Ubicacion_B,2021-01-04,1,Bomba,Fabricante_B,Modelo_10,258,692
19,111,2021-01-04,Correctivo,1770,19,Ubicacion_C,2021-01-04,1,Bomba,Fabricante_B,Modelo_7,468,947
20,197,2021-01-05,Correctivo,2984,13,Ubicacion_A,2021-01-04,1,Compresor,Fabricante_D,Modelo_9,179,629
21,257,2021-01-05,Correctivo,4980,18,Ubicacion_D,2021-01-04,1,Bomba,Fabricante_A,Modelo_7,57,873
22,258,2021-01-05,Correctivo,2863,10,Ubicacion_A,2021-01-04,1,Compresor,Fabricante_C,Modelo_3,334,910
23,54,2021-01-05,Correctivo,3096,20,Ubicacion_D,2021-01-04,1,Compresor,Fabricante_D,Modelo_4,419,724
24,482,2021-01-05,Correctivo,4961,24,Ubicacion_A,2021-01-04,1,Generador,Fabricante_A,Modelo_4,268,756
25,394,2021-01-05,Correctivo,1016,4,Ubicacion_C,2021-01-04,1,Compresor,Fabricante_B,Modelo_8,477,583
26,329,2021-01-05,Correctivo,1372,18,Ubicacion_A,2021-01-04,1,Compresor,Fabricante_D,Modelo_4,55,988
27,87,2021-01-05,Correctivo,1317,20,Ubicacion_D,2021-01-04,1,Compresor,Fabricante_C,Modelo_1,490,651
28,220,2021-01-06,Correctivo,1603,12,Ubicacion_A,2021-01-04,1,Motor,Fabricante_D,Modelo_1,198,591
29,398,2021-01-06,Correctivo,1305,2,Ubicacion_C,2021-01-04,1,Generador,Fabricante_A,Modelo_2,367,549
30,150,2021-01-06,Correctivo,4878,24,Ubicacion_A,2021-01-04,1,Generador,Fabricante_C,Modelo_6,269,918
31,134,2021-01-06,Correctivo,3950,1,Ubicacion_A,2021-01-04,2,Compresor,Fabricante_C,Modelo_4,130,766
32,290,2021-01-06,Correctivo,2733,18,Ubicacion_A,2021-01-04,1,Compresor,Fabricante_D,Modelo_1,459,878
33,104,2021-01-07,Correctivo,3971,11,Ubicacion_D,2021-01-04,1,Bomba,Fabricante_D,Modelo_4,420,711
34,346,2021-01-07,Correctivo,3373,6,Ubicacion_B,2021-01-04,1,Compresor,Fabricante_A,Modelo_10,217,623
35,212,2021-01-07,Correctivo,4386,19,Ubicacion_B,2021-01-04,1,Compresor,Fabricante_C,Modelo_3,370,667
36,259,2021-01-07,Correctivo,4752,13,Ubicacion_D,2021-01-04,1,Compresor,Fabricante_A,Modelo_3,367,536
37,493,2021-01-08,Correctivo,3272,13,Ubicacion_D,2021-01-04,1,Bomba,Fabricante_B,Modelo_7,427,996
38,317,2021-01-08,Correctivo,1906,24,Ubicacion_D,2021-01-04,1,Generador,Fabricante_C,Modelo_2,134,732
39,42,2021-01-09,Correctivo,4666,21,Ubicacion_C,2021-01-04,1,Motor,Fabricante_B,Modelo_9,430,670
40,31,2021-01-09,Correctivo,3562,22,Ubicacion_A,2021-01-04,1,Compresor,Fabricante_C,Modelo_8,94,520
41,407,2021-01-09,Correctivo,2663,11,Ubicacion_C,2021-01-04,1,Bomba,Fabricante_B,Modelo_8,205,723
42,263,2021-01-09,Correctivo,4502,3,Ubicacion_A,2021-01-04,1,Bomba,Fabricante_A,Modelo_8,116,898
43,441,2021-01-09,Correctivo,2610,11,Ubicacion_C,2021-01-04,1,Bomba,Fabricante_B,Modelo_10,412,686
44,153,2021-01-09,Correctivo,4106,16,Ubicacion_C,2021-01-04,1,Generador,Fabricante_C,Modelo_1,302,839
45,129,2021-01-09,Correctivo,4296,24,Ubicacion_A,2021-01-04,1,Motor,Fabricante_A,Modelo_8,113,790
46,352,2021-01-09,Correctivo,1911,23,Ubicacion_B,2021-01-04,1,Motor,Fabricante_C,Modelo_7,467,899
47,270,2021-01-10,Correctivo,3701,8,Ubicacion_B,2021-01-04,1,Generador,Fabricante_C,Modelo_2,251,698
48,252,2021-01-10,Correctivo,4335,12,Ubicacion_C,2021-01-04,1,Generador,Fabricante_D,Modelo_3,89,874
49,401,2021-01-10,Correctivo,3847,8,Ubicacion_C,2021-01-04,1,Compresor,Fabricante_B,Modelo_3,263,797
50,496,2021-01-10,Correctivo,1680,1,Ubicacion_A,2021-01-04,1,Compresor,Fabricante_C,Modelo_1,339,916
51,151,2021-01-10,Correctivo,963,2,Ubicacion_A,2021-01-04,1,Compresor,Fabricante_C,Modelo_3,111,583
52,450,2021-01-10,Correctivo,4795,13,Ubicacion_C,2021-01-04,1,Bomba,Fabricante_D,Modelo_8,159,752
53,288,2021-01-10,Correctivo,1138,14,Ubicacion_B,2021-01-04,1,Motor,Fabricante_D,Modelo_9,99,702
54,134,2021-01-10,Correctivo,728,19,Ubicacion_A,2021-01-04,2,Compresor,Fabricante_C,Modelo_4,130,766
